state,spending_type,income_level,age_group,total_spendings,date_posted
NY,Entertainment,High Income,>= 50,233,9/19/2012
NY,Entertainment,High Income,>= 50,5069,9/19/2012
NY,Gamble,High Income,<= 30,0,9/19/2012
NY,Gamble,High Income,<= 30,0,9/19/2012
NY,Food and Restaurent,Medium Income,30 to 40,125,9/19/2012
NY,Entertainment,Low Income,40 to 50,88,9/19/2012
NY,Food and Restaurent,High Income,40 to 50,385,9/19/2012
NY,Food and Restaurent,High Income,40 to 50,690.91,9/19/2012
NY,Entertainment,High Income,>= 50,267,9/19/2012
NY,Food and Restaurent,High Income,40 to 50,214,9/19/2012
NY,Entertainment,High Income,30 to 40,230,9/19/2012
NY,Hobby,High Income,30 to 40,325,9/19/2012
NY,Entertainment,High Income,40 to 50,0,9/19/2012
NY,Hobby,High Income,30 to 40,430,9/19/2012
NY,Hobby,High Income,30 to 40,201,9/19/2012
NY,Food and Restaurent,High Income,30 to 40,135,9/19/2012
NY,Entertainment,High Income,<= 30,1100,9/19/2012
NY,Hobby,High Income,30 to 40,300,9/19/2012
NY,Hobby,High Income,30 to 40,390,9/19/2012
NY,Food and Restaurent,High Income,>= 50,550,9/19/2012
NY,Hobby,High Income,30 to 40,560,9/19/2012
NY,Food and Restaurent,High Income,40 to 50,400,9/19/2012
NY,Food and Restaurent,High Income,<= 30,1873,9/19/2012
NY,Education,High Income,30 to 40,484,9/19/2012
NY,Hobby,High Income,40 to 50,353,9/19/2012
NY,Hobby,High Income,40 to 50,352,9/19/2012
NY,Education,High Income,30 to 40,407,9/19/2012
NY,Food and Restaurent,High Income,<= 30,619,9/19/2012
NY,Education,Low Income,>= 50,3378,9/19/2012
NY,Entertainment,High Income,30 to 40,126,9/19/2012
NY,Hobby,High Income,30 to 40,0,9/19/2012
NY,Hobby,High Income,30 to 40,187,9/19/2012
NY,Food and Restaurent,High Income,30 to 40,560,9/19/2012
NY,Hobby,High Income,30 to 40,315,9/20/2012
NY,Hobby,High Income,30 to 40,410,9/20/2012
NY,Food and Restaurent,High Income,40 to 50,143,9/20/2012
NY,Education,High Income,30 to 40,440,9/20/2012
NY,Food and Restaurent,High Income,40 to 50,104,9/20/2012
NY,Food and Restaurent,High Income,<= 30,265,9/20/2012
NY,Food and Restaurent,High Income,30 to 40,79,9/20/2012
NY,Entertainment,High Income,<= 30,600,9/20/2012
NY,Hobby,High Income,>= 50,440,9/20/2012
NY,Entertainment,High Income,40 to 50,1000,9/20/2012
NY,Food and Restaurent,High Income,>= 50,600,9/20/2012
NY,Food and Restaurent,High Income,30 to 40,0,9/20/2012
NY,Hobby,High Income,>= 50,212,9/20/2012
NY,Hobby,High Income,>= 50,1350,9/20/2012
NY,Hobby,High Income,>= 50,1201,9/20/2012
NY,Hobby,High Income,40 to 50,176,9/20/2012
NY,Education,High Income,40 to 50,261,9/20/2012
NY,Food and Restaurent,High Income,30 to 40,377,9/20/2012
NY,Food and Restaurent,High Income,30 to 40,400,9/20/2012
NY,Entertainment,High Income,<= 30,242,9/20/2012
NY,Food and Restaurent,High Income,30 to 40,154,9/20/2012
NY,Entertainment,High Income,30 to 40,605,9/20/2012
NY,Education,High Income,>= 50,1911,9/20/2012
NY,Entertainment,Low Income,<= 30,240,9/20/2012
NY,Vacation,Medium Income,<= 30,77777,9/20/2012
NY,Gamble,High Income,<= 30,0,9/20/2012
NY,Hobby,High Income,>= 50,2100,9/23/2012
NY,Hobby,High Income,>= 50,1300,9/23/2012
NY,Gamble,High Income,<= 30,0,9/23/2012
NY,Education,High Income,40 to 50,351.6,9/24/2012
NY,Food and Restaurent,High Income,<= 30,250,9/24/2012
NY,Hobby,High Income,>= 50,0,9/24/2012
NY,Hobby,High Income,>= 50,385,9/25/2012
NY,Hobby,High Income,40 to 50,214,9/25/2012
NY,Food and Restaurent,High Income,>= 50,0,9/26/2012
NY,Entertainment,High Income,30 to 40,301,9/26/2012
NY,Education,High Income,>= 50,800,9/27/2012
NY,Hobby,High Income,30 to 40,0,9/27/2012
NY,Entertainment,High Income,<= 30,252,9/27/2012
NY,Entertainment,High Income,<= 30,65,9/27/2012
NY,Entertainment,High Income,30 to 40,330,9/27/2012
NY,Entertainment,High Income,30 to 40,385,9/30/2012
NY,Entertainment,High Income,<= 30,68,9/30/2012
NY,Hobby,High Income,<= 30,586,10/1/2012
NY,Entertainment,High Income,<= 30,227,10/1/2012
NY,Food and Restaurent,Low Income,>= 50,0,10/1/2012
NY,Hobby,High Income,30 to 40,0,10/1/2012
NY,Hobby,High Income,30 to 40,442,10/3/2012
NY,Entertainment,High Income,<= 30,214,10/3/2012
NY,Food and Restaurent,High Income,<= 30,385,10/3/2012
NY,Entertainment,High Income,>= 50,0,10/3/2012
NY,Education,High Income,<= 30,133,10/3/2012
NY,Entertainment,High Income,<= 30,253,10/3/2012
NY,Entertainment,High Income,>= 50,572,10/3/2012
NY,Education,High Income,40 to 50,264,10/3/2012
NY,Hobby,High Income,>= 50,1335,10/3/2012
NY,Hobby,High Income,30 to 40,0,10/8/2012
NY,Food and Restaurent,High Income,<= 30,220,10/8/2012
NY,Food and Restaurent,High Income,<= 30,47,10/9/2012
NY,Food and Restaurent,High Income,30 to 40,0,10/9/2012
NY,Entertainment,High Income,30 to 40,415.35,10/9/2012
NY,Hobby,High Income,40 to 50,599,10/9/2012
NY,Food and Restaurent,High Income,>= 50,737,10/9/2012
NY,Food and Restaurent,High Income,<= 30,374,10/10/2012
NY,Food and Restaurent,High Income,<= 30,484,10/10/2012
NY,Entertainment,High Income,30 to 40,286,10/11/2012
NY,Entertainment,High Income,<= 30,54,10/11/2012
NY,Hobby,High Income,30 to 40,0,10/15/2012
NY,Entertainment,High Income,30 to 40,383,10/15/2012
NY,Entertainment,High Income,<= 30,374,10/15/2012
NY,Entertainment,High Income,30 to 40,385,10/15/2012
NY,Entertainment,High Income,30 to 40,0,10/15/2012
NY,Entertainment,High Income,40 to 50,238,10/15/2012
NY,Hobby,High Income,>= 50,1243.4,10/15/2012
NY,Entertainment,High Income,>= 50,0,10/15/2012
NY,Food and Restaurent,High Income,30 to 40,291,10/15/2012
NY,Food and Restaurent,High Income,30 to 40,231,10/16/2012
NY,Entertainment,High Income,>= 50,942,10/16/2012
NY,Food and Restaurent,High Income,40 to 50,74,10/16/2012
NY,Entertainment,High Income,<= 30,1099.84,10/16/2012
NY,Gamble,High Income,<= 30,0,10/17/2012
NY,Entertainment,High Income,<= 30,330,10/17/2012
NY,Gamble,High Income,30 to 40,250,10/17/2012
NY,Food and Restaurent,High Income,30 to 40,140,10/17/2012
NY,Food and Restaurent,Low Income,30 to 40,201,10/18/2012
NY,Entertainment,Low Income,30 to 40,244,10/21/2012
NY,Entertainment,High Income,<= 30,335,10/21/2012
NY,Food and Restaurent,High Income,<= 30,0,10/21/2012
NY,Food and Restaurent,High Income,<= 30,395,10/22/2012
NY,Hobby,High Income,40 to 50,978,10/22/2012
NY,Education,High Income,>= 50,2623,10/23/2012
NY,Food and Restaurent,High Income,<= 30,121,10/23/2012
NY,Food and Restaurent,Low Income,<= 30,53,10/23/2012
NY,Food and Restaurent,High Income,40 to 50,1067,10/23/2012
NY,Food and Restaurent,High Income,<= 30,654,10/23/2012
NY,Hobby,High Income,30 to 40,314,10/23/2012
NY,Hobby,High Income,<= 30,129,10/23/2012
NY,Food and Restaurent,High Income,<= 30,59,10/24/2012
NY,Food and Restaurent,High Income,<= 30,83,10/24/2012
NY,Food and Restaurent,High Income,<= 30,230,10/24/2012
NY,Hobby,High Income,>= 50,1559,10/24/2012
NY,Food and Restaurent,High Income,30 to 40,201,10/24/2012
NY,Food and Restaurent,High Income,30 to 40,283,10/24/2012
NY,Hobby,High Income,30 to 40,502.5,10/24/2012
NY,Food and Restaurent,High Income,40 to 50,270,10/25/2012
NY,Hobby,High Income,40 to 50,253,10/25/2012
NY,Food and Restaurent,High Income,40 to 50,285,10/27/2012
NY,Gamble,High Income,<= 30,0,10/27/2012
NY,Entertainment,High Income,40 to 50,746,10/27/2012
NY,Entertainment,High Income,40 to 50,393,10/27/2012
NY,Hobby,High Income,30 to 40,278,10/28/2012
NY,Entertainment,High Income,40 to 50,495,10/28/2012
NY,Entertainment,High Income,30 to 40,397,10/28/2012
NY,Entertainment,Low Income,<= 30,0,10/29/2012
NY,Food and Restaurent,High Income,40 to 50,0,10/30/2012
NY,Hobby,High Income,<= 30,500,10/30/2012
NY,Food and Restaurent,High Income,30 to 40,249,10/30/2012
NY,Food and Restaurent,High Income,40 to 50,0,10/30/2012
NY,Food and Restaurent,High Income,30 to 40,258,10/30/2012
NY,Hobby,High Income,30 to 40,600,11/2/2012
NY,Food and Restaurent,High Income,30 to 40,157,11/5/2012
NY,Hobby,High Income,40 to 50,282,11/5/2012
NY,Hobby,High Income,<= 30,167,11/5/2012
NY,Food and Restaurent,High Income,>= 50,785,11/5/2012
NY,Food and Restaurent,High Income,<= 30,0,11/5/2012
NY,Food and Restaurent,High Income,<= 30,385,11/5/2012
NY,Food and Restaurent,High Income,30 to 40,570,11/5/2012
NY,Food and Restaurent,Low Income,40 to 50,0,11/6/2012
NY,Food and Restaurent,High Income,40 to 50,255,11/7/2012
NY,Food and Restaurent,High Income,40 to 50,1655,11/7/2012
NY,Hobby,High Income,<= 30,108,11/8/2012
NY,Hobby,High Income,<= 30,108,11/9/2012
NY,Hobby,High Income,40 to 50,1278,11/9/2012
NY,Food and Restaurent,High Income,<= 30,102,11/9/2012
NY,Food and Restaurent,Medium Income,<= 30,480,11/9/2012
NY,Food and Restaurent,High Income,30 to 40,324.5,11/9/2012
NY,Gamble,High Income,40 to 50,230,11/9/2012
NY,Food and Restaurent,High Income,30 to 40,274,11/9/2012
NY,Food and Restaurent,High Income,>= 50,1027.4,11/9/2012
NY,Education,High Income,<= 30,201,11/9/2012
NY,Hobby,High Income,<= 30,426,11/9/2012
NY,Hobby,High Income,>= 50,561,11/9/2012
NY,Food and Restaurent,High Income,40 to 50,445,11/9/2012
NY,Hobby,High Income,30 to 40,0,11/9/2012
NY,Hobby,High Income,>= 50,1610,11/9/2012
NY,Food and Restaurent,High Income,>= 50,1610,11/9/2012
NY,Food and Restaurent,High Income,30 to 40,167,11/9/2012
NY,Entertainment,High Income,30 to 40,758.36,11/9/2012
NY,Food and Restaurent,High Income,30 to 40,95,11/9/2012
NY,Entertainment,High Income,40 to 50,83,11/9/2012
NY,Food and Restaurent,High Income,30 to 40,233.2,11/9/2012
NY,Food and Restaurent,Low Income,>= 50,353.1,11/9/2012
NY,Food and Restaurent,High Income,<= 30,199.1,11/9/2012
NY,Food and Restaurent,High Income,<= 30,0,11/9/2012
NY,Food and Restaurent,High Income,40 to 50,414,11/9/2012
NY,Food and Restaurent,High Income,<= 30,254,11/9/2012
NY,Gamble,High Income,40 to 50,468,11/9/2012
NY,Hobby,High Income,40 to 50,500,11/9/2012
NY,Hobby,High Income,30 to 40,267.3,11/9/2012
NY,Food and Restaurent,High Income,>= 50,473.87,11/9/2012
NY,Food and Restaurent,High Income,<= 30,257.4,11/9/2012
NY,Food and Restaurent,High Income,<= 30,264,11/9/2012
NY,Hobby,High Income,<= 30,361.9,11/9/2012
NY,Food and Restaurent,High Income,40 to 50,251.9,11/9/2012
NY,Entertainment,High Income,40 to 50,289.3,11/9/2012
NY,Entertainment,High Income,>= 50,814,11/9/2012
NY,Food and Restaurent,High Income,<= 30,205,11/9/2012
NY,Hobby,High Income,30 to 40,480.7,11/9/2012
NY,Food and Restaurent,High Income,30 to 40,400,11/9/2012
NY,Hobby,High Income,30 to 40,799.7,11/9/2012
NY,Food and Restaurent,High Income,<= 30,132,11/9/2012
NY,Hobby,High Income,30 to 40,506,11/9/2012
NY,Food and Restaurent,High Income,40 to 50,0,11/9/2012
NY,Hobby,High Income,>= 50,137,11/9/2012
NY,Food and Restaurent,Low Income,<= 30,320,11/9/2012
NY,Food and Restaurent,Low Income,<= 30,454.3,11/9/2012
NY,Hobby,High Income,40 to 50,0,11/9/2012
NY,Entertainment,High Income,40 to 50,364.1,11/9/2012
NY,Entertainment,High Income,40 to 50,137.5,11/9/2012
NY,Education,High Income,30 to 40,2110,11/9/2012
NY,Entertainment,High Income,40 to 50,592.5,11/11/2012
NY,Hobby,High Income,40 to 50,289.3,11/11/2012
NY,Gamble,High Income,<= 30,0,11/11/2012
NY,Food and Restaurent,High Income,30 to 40,633,11/11/2012
NY,Hobby,High Income,30 to 40,734,11/11/2012
NY,Hobby,High Income,30 to 40,517,11/11/2012
NY,Food and Restaurent,High Income,30 to 40,420,11/11/2012
NY,Food and Restaurent,High Income,40 to 50,472,11/11/2012
NY,Entertainment,High Income,>= 50,0,11/11/2012
NY,Entertainment,High Income,<= 30,278.8,11/11/2012
NY,Gamble,High Income,>= 50,321.2,11/11/2012
NY,Hobby,High Income,30 to 40,508.2,11/11/2012
NY,Hobby,High Income,30 to 40,367.4,11/11/2012
NY,Food and Restaurent,High Income,30 to 40,403.7,11/11/2012
NY,Hobby,High Income,30 to 40,539,11/11/2012
NY,Entertainment,High Income,30 to 40,429,11/11/2012
NY,Gamble,High Income,<= 30,0,11/11/2012
NY,Hobby,High Income,30 to 40,453.2,11/11/2012
NY,Entertainment,High Income,>= 50,506,11/11/2012
NY,Gamble,High Income,<= 30,0,11/11/2012
NY,Food and Restaurent,High Income,<= 30,61.6,11/11/2012
NY,Food and Restaurent,High Income,>= 50,198,11/11/2012
NY,Entertainment,High Income,40 to 50,619.08,11/11/2012
NY,Hobby,High Income,30 to 40,469,11/11/2012
NY,Entertainment,High Income,30 to 40,137,11/11/2012
NY,Hobby,High Income,30 to 40,145.2,11/11/2012
NY,Food and Restaurent,High Income,<= 30,516,11/11/2012
NY,Food and Restaurent,High Income,<= 30,120,11/11/2012
NY,Entertainment,High Income,40 to 50,0,11/11/2012
NY,Hobby,High Income,30 to 40,380.6,11/11/2012
NY,Hobby,High Income,30 to 40,317.9,11/11/2012
NY,Hobby,High Income,<= 30,146,11/11/2012
NY,Hobby,High Income,30 to 40,298,11/11/2012
NY,Hobby,High Income,30 to 40,363,11/11/2012
NY,Hobby,High Income,30 to 40,772.5,11/11/2012
NY,Food and Restaurent,High Income,30 to 40,900.9,11/11/2012
NY,Food and Restaurent,High Income,30 to 40,390,11/11/2012
NY,Hobby,Medium Income,40 to 50,313.09,11/11/2012
NY,Hobby,High Income,40 to 50,273.55,11/11/2012
NY,Food and Restaurent,High Income,<= 30,330,11/11/2012
NY,Food and Restaurent,High Income,30 to 40,376.19,11/11/2012
NY,Education,High Income,>= 50,3300,11/11/2012
NY,Entertainment,High Income,30 to 40,143.5,11/11/2012
NY,Gamble,High Income,<= 30,0,11/11/2012
NY,Gamble,High Income,<= 30,0,11/11/2012
NY,Gamble,Low Income,<= 30,0,11/11/2012
NY,Food and Restaurent,High Income,40 to 50,677.65,11/11/2012
NY,Hobby,High Income,30 to 40,554,11/11/2012
NY,Entertainment,High Income,40 to 50,295.9,11/11/2012
NY,Education,High Income,<= 30,978,11/11/2012
NY,Hobby,High Income,30 to 40,1560,11/11/2012
NY,Education,High Income,30 to 40,555,11/11/2012
NY,Hobby,High Income,40 to 50,191.4,11/11/2012
NY,Food and Restaurent,High Income,<= 30,281.6,11/11/2012
NY,Food and Restaurent,High Income,<= 30,86.9,11/11/2012
NY,Entertainment,High Income,30 to 40,357,11/11/2012
NY,Hobby,High Income,40 to 50,460,11/11/2012
NY,Gamble,High Income,<= 30,0,11/11/2012
NY,Hobby,High Income,<= 30,2362,11/11/2012
NY,Food and Restaurent,High Income,<= 30,366.3,11/11/2012
NY,Hobby,High Income,30 to 40,0,11/11/2012
NY,Food and Restaurent,High Income,40 to 50,0,11/11/2012
NY,Gamble,High Income,<= 30,0,11/11/2012
NY,Hobby,High Income,40 to 50,319,11/11/2012
NY,Food and Restaurent,High Income,<= 30,175,11/11/2012
NY,Hobby,High Income,40 to 50,440,11/11/2012
NY,Entertainment,High Income,>= 50,2237,11/11/2012
NY,Food and Restaurent,High Income,30 to 40,308,11/11/2012
NY,Food and Restaurent,High Income,40 to 50,861.45,11/11/2012
NY,Food and Restaurent,High Income,<= 30,70.4,11/11/2012
NY,Food and Restaurent,High Income,30 to 40,453,11/11/2012
NY,Hobby,High Income,30 to 40,309,11/11/2012
NY,Entertainment,High Income,30 to 40,419,11/11/2012
NY,Food and Restaurent,Low Income,>= 50,528,11/11/2012
NY,Entertainment,High Income,>= 50,525.8,11/11/2012
NY,Hobby,High Income,30 to 40,238.7,11/11/2012
NY,Hobby,Low Income,<= 30,578.6,11/11/2012
NY,Entertainment,High Income,30 to 40,300,11/11/2012
NY,Entertainment,High Income,30 to 40,251.9,11/11/2012
NY,Gamble,High Income,30 to 40,471.49,11/11/2012
NY,Food and Restaurent,High Income,30 to 40,780,11/11/2012
NY,Entertainment,High Income,30 to 40,286,11/11/2012
NY,Hobby,High Income,30 to 40,811,11/11/2012
NY,Entertainment,High Income,30 to 40,440,11/11/2012
NY,Food and Restaurent,High Income,40 to 50,580.23,11/11/2012
NY,Food and Restaurent,High Income,<= 30,550.7,11/11/2012
NY,Food and Restaurent,High Income,30 to 40,0,11/11/2012
NY,Food and Restaurent,High Income,<= 30,506,11/11/2012
NY,Hobby,High Income,40 to 50,627.22,11/11/2012
NY,Food and Restaurent,High Income,<= 30,222,11/11/2012
NY,Entertainment,High Income,30 to 40,242,11/11/2012
NY,Food and Restaurent,High Income,<= 30,230,11/11/2012
NY,Food and Restaurent,High Income,<= 30,92.4,11/11/2012
NY,Food and Restaurent,High Income,30 to 40,149.84,11/11/2012
NY,Entertainment,High Income,40 to 50,369.6,11/11/2012
NY,Food and Restaurent,High Income,30 to 40,0,11/11/2012
NY,Food and Restaurent,High Income,40 to 50,361.9,11/11/2012
NY,Food and Restaurent,High Income,30 to 40,95.51,11/11/2012
NY,Hobby,High Income,>= 50,855.8,11/11/2012
NY,Entertainment,High Income,<= 30,302.5,11/11/2012
NY,Hobby,High Income,<= 30,888.22,11/11/2012
NY,Food and Restaurent,High Income,40 to 50,314.6,11/11/2012
NY,Entertainment,High Income,<= 30,213,11/11/2012
NY,Gamble,Low Income,>= 50,237,11/11/2012
NY,Education,High Income,30 to 40,460,11/11/2012
NY,Entertainment,High Income,40 to 50,0,11/11/2012
NY,Food and Restaurent,High Income,<= 30,235.4,11/11/2012
NY,Education,High Income,30 to 40,694.1,11/13/2012
NY,Food and Restaurent,High Income,<= 30,643,11/14/2012
NY,Education,High Income,40 to 50,341,11/14/2012
NY,Food and Restaurent,High Income,30 to 40,1430,11/14/2012
NY,Food and Restaurent,High Income,<= 30,390.5,11/15/2012
NY,Food and Restaurent,High Income,30 to 40,412.09,11/15/2012
NY,Food and Restaurent,Medium Income,40 to 50,71.5,11/15/2012
NY,Entertainment,High Income,40 to 50,157,11/15/2012
NY,Gamble,High Income,<= 30,0,11/15/2012
NY,Hobby,High Income,>= 50,1608.1,11/18/2012
NY,Hobby,High Income,40 to 50,475,11/18/2012
NY,Hobby,High Income,30 to 40,569.68,11/18/2012
NY,Entertainment,High Income,30 to 40,370.7,11/19/2012
NY,Education,Low Income,>= 50,1639,11/19/2012
NY,Food and Restaurent,High Income,30 to 40,381,11/19/2012
NY,Food and Restaurent,High Income,40 to 50,2034,11/19/2012
NY,Gamble,High Income,>= 50,671,11/19/2012
NY,Gamble,High Income,40 to 50,957,11/19/2012
NY,Food and Restaurent,High Income,40 to 50,103,11/26/2012
NY,Gamble,High Income,<= 30,0,11/26/2012
NY,Education,High Income,40 to 50,539,11/26/2012
NY,Gamble,High Income,<= 30,0,11/26/2012
NY,Entertainment,High Income,30 to 40,328.89,11/26/2012
NY,Entertainment,High Income,>= 50,1392,11/26/2012
NY,Hobby,High Income,40 to 50,793,11/26/2012
NY,Hobby,High Income,40 to 50,1450.91,11/26/2012
NY,Entertainment,High Income,>= 50,11500,11/27/2012
NY,Entertainment,High Income,40 to 50,436,11/27/2012
NY,Hobby,Low Income,>= 50,419,11/27/2012
NY,Gamble,High Income,<= 30,0,11/27/2012
NY,Food and Restaurent,High Income,<= 30,810.7,11/27/2012
NY,Entertainment,High Income,40 to 50,378.73,11/27/2012
NY,Entertainment,High Income,30 to 40,283.96,11/27/2012
NY,Food and Restaurent,High Income,>= 50,631.4,11/27/2012
NY,Entertainment,High Income,30 to 40,762.45,11/27/2012
NY,Hobby,High Income,<= 30,103.4,11/27/2012
NY,Hobby,High Income,30 to 40,752.4,11/27/2012
NY,Food and Restaurent,High Income,30 to 40,50.55,11/27/2012
NY,Food and Restaurent,High Income,30 to 40,511.5,11/27/2012
NY,Education,High Income,<= 30,154,11/27/2012
NY,Food and Restaurent,High Income,<= 30,88,11/27/2012
NY,Gamble,High Income,<= 30,33,11/27/2012
NY,Entertainment,High Income,<= 30,386.1,11/27/2012
NY,Gamble,High Income,<= 30,0,11/27/2012
NY,Hobby,High Income,30 to 40,559.9,11/27/2012
NY,Entertainment,High Income,<= 30,218.45,11/27/2012
NY,Hobby,High Income,40 to 50,176.25,11/27/2012
NY,Hobby,High Income,40 to 50,617.57,11/27/2012
NY,Food and Restaurent,High Income,30 to 40,518,11/27/2012
NY,Gamble,High Income,<= 30,0,11/27/2012
NY,Hobby,High Income,40 to 50,0,11/27/2012
NY,Hobby,High Income,<= 30,187,11/27/2012
NY,Hobby,High Income,<= 30,128,11/28/2012
NY,Hobby,High Income,<= 30,199,11/28/2012
NY,Hobby,High Income,40 to 50,290.4,11/28/2012
NY,Hobby,High Income,40 to 50,440,11/28/2012
NY,Food and Restaurent,High Income,<= 30,556.6,11/28/2012
NY,Food and Restaurent,High Income,30 to 40,203.49,11/28/2012
NY,Food and Restaurent,High Income,30 to 40,718,11/28/2012
NY,Food and Restaurent,High Income,<= 30,432.9,11/28/2012
NY,Entertainment,High Income,40 to 50,529,11/28/2012
NY,Entertainment,High Income,<= 30,253.74,11/28/2012
NY,Education,High Income,<= 30,288.2,11/29/2012
NY,Entertainment,High Income,<= 30,325,11/29/2012
NY,Hobby,High Income,30 to 40,474.1,11/29/2012
NY,Food and Restaurent,High Income,30 to 40,145.2,11/29/2012
NY,Hobby,High Income,30 to 40,751.3,11/29/2012
NY,Food and Restaurent,Low Income,30 to 40,1928,11/29/2012
NY,Hobby,High Income,30 to 40,458.7,11/29/2012
NY,Entertainment,High Income,<= 30,3278,11/29/2012
